Date,Time,Open,High,Low,Close
1-Feb,9:30,373.72,374.32,373.4,373.94
1-Feb,9:35,373.93,374.39,373.43,373.66
1-Feb,9:40,373.65,373.92,373.38,373.58
1-Feb,9:45,373.58,373.7,372.41,372.41
1-Feb,9:50,372.4,372.84,371.42,371.54
1-Feb,9:55,371.54,372.64,371.53,372.61
1-Feb,10:00,372.615,372.83,371.7,372.8199
1-Feb,10:05,372.81,372.95,371.97,372.05
1-Feb,10:10,372.02,372.97,371.93,372.5878
1-Feb,10:15,372.6,373,372.31,372.95
1-Feb,10:20,372.95,373.3899,372.74,373.37
1-Feb,10:25,373.3792,373.49,372.93,372.95
1-Feb,10:30,372.96,373.78,372.96,373.73
1-Feb,10:35,373.74,373.89,373.13,373.2
1-Feb,10:40,373.19,373.94,372.93,373.66
1-Feb,10:45,373.68,373.99,373.62,373.765
1-Feb,10:50,373.76,373.85,372.73,372.79
1-Feb,10:55,372.78,372.88,372.455,372.84
1-Feb,11:00,372.84,372.9799,372.26,372.8
1-Feb,11:05,372.8,373.57,372.78,373.43
1-Feb,11:10,373.42,373.65,373.22,373.49
1-Feb,11:15,373.48,373.91,373.42,373.9
1-Feb,11:20,373.91,374.3299,373.8301,374.3
1-Feb,11:25,374.3,374.77,374.3,374.6099
1-Feb,11:30,374.605,374.98,374.52,374.773
1-Feb,11:35,374.77,374.89,374.63,374.89
1-Feb,11:40,374.9,375.73,374.89,375.4501
1-Feb,11:45,375.47,375.8,375.47,375.71
1-Feb,11:50,375.7181,375.76,375.51,375.6
1-Feb,11:55,375.61,375.66,375.09,375.13
1-Feb,12:00,375.1289,375.77,375.125,375.5111
1-Feb,12:05,375.5181,375.69,375.48,375.48
1-Feb,12:10,375.48,375.98,375.48,375.96
1-Feb,12:15,375.98,376.19,375.92,376.0319
1-Feb,12:20,376.04,376.14,375.955,376.0801
1-Feb,12:25,376.083,376.17,375.98,376.1381
1-Feb,12:30,376.14,376.36,375.995,376.03
1-Feb,12:35,376.02,376.1,375.81,375.88
1-Feb,12:40,375.88,376.14,375.73,375.75
1-Feb,12:45,375.75,375.92,375.665,375.89
1-Feb,12:50,375.9,376.225,375.88,376.2101
1-Feb,12:55,376.22,376.49,376.16,376.46
1-Feb,13:00,376.455,376.54,376.3,376.36
1-Feb,13:05,376.35,376.39,376.19,376.325
1-Feb,13:10,376.325,376.495,376.1101,376.345
1-Feb,13:15,376.35,376.41,376.2292,376.37
1-Feb,13:20,376.39,376.59,376.3,376.495
1-Feb,13:25,376.49,376.53,376.37,376.38
1-Feb,13:30,376.38,376.71,376.38,376.57
1-Feb,13:35,376.585,376.585,376,376.11
1-Feb,13:40,376.105,376.21,375.91,376.02
1-Feb,13:45,376.03,376.13,375.81,375.915
1-Feb,13:50,375.911,376.17,375.86,376.13
1-Feb,13:55,376.14,376.46,376.125,376.43
1-Feb,14:00,376.4499,376.47,376.17,376.26
1-Feb,14:05,376.2589,376.41,376.06,376.3881
1-Feb,14:10,376.39,376.51,376.32,376.51
1-Feb,14:15,376.51,376.88,376.49,376.7997
1-Feb,14:20,376.8,376.8,376.51,376.6589
1-Feb,14:25,376.6516,377,376.65,376.9419
1-Feb,14:30,376.96,377.07,376.86,377.005
1-Feb,14:35,377.01,377.08,376.87,376.94
1-Feb,14:40,376.945,377.305,376.945,377.16
1-Feb,14:45,377.19,377.27,377.18,377.235
1-Feb,14:50,377.22,377.34,377.13,377.25
1-Feb,14:55,377.24,377.24,376.715,376.89
1-Feb,15:00,376.9,377.21,376.9,377.185
1-Feb,15:05,377.1819,377.29,376.94,377.1699
1-Feb,15:10,377.1689,377.21,376.61,376.8616
1-Feb,15:15,376.8699,377.02,376.6,376.82
1-Feb,15:20,376.83,376.92,376.31,376.495
1-Feb,15:25,376.5,376.78,376.5,376.601
1-Feb,15:30,376.61,376.62,376.22,376.5186
1-Feb,15:35,376.52,376.96,376.5,376.73
1-Feb,15:40,376.74,376.96,376.4,376.8
1-Feb,15:45,376.79,376.85,376.56,376.76
1-Feb,15:50,376.75,377.12,376.495,377.09
1-Feb,15:55,377.08,377.08,376.02,376.02
2-Feb,9:30,379.65,380.62,379.6,380.595
2-Feb,9:35,380.595,380.77,380.405,380.48
2-Feb,9:40,380.48,380.69,380.15,380.4681
2-Feb,9:45,380.47,381.21,380.44,381.08
2-Feb,9:50,381.08,381.13,380.54,380.8799
2-Feb,9:55,380.86,381.2,380.71,380.87
2-Feb,10:00,380.89,381.6,380.87,381.44
2-Feb,10:05,381.43,381.59,381.23,381.56
2-Feb,10:10,381.57,381.75,381.2,381.5378
2-Feb,10:15,381.55,382.54,381.54,382.485
2-Feb,10:20,382.5,382.52,382.25,382.2798
2-Feb,10:25,382.28,382.4264,381.49,381.5102
2-Feb,10:30,381.52,382.02,381.5,381.937
2-Feb,10:35,381.937,382.1,381.74,381.79
2-Feb,10:40,381.79,382.07,381.445,381.64
2-Feb,10:45,381.655,382.03,381.44,381.99
2-Feb,10:50,381.99,382.09,381.81,381.9999
2-Feb,10:55,381.99,382.2,381.92,382.08
2-Feb,11:00,382.07,382.39,381.93,382.39
2-Feb,11:05,382.37,382.62,382.3218,382.605
2-Feb,11:10,382.605,382.73,382.45,382.7
2-Feb,11:15,382.7,382.89,382.62,382.865
2-Feb,11:20,382.875,382.96,382.45,382.45
2-Feb,11:25,382.46,382.62,382.46,382.57
2-Feb,11:30,382.575,382.61,382.38,382.44
2-Feb,11:35,382.44,382.92,382.44,382.76
2-Feb,11:40,382.75,382.95,382.65,382.92
2-Feb,11:45,382.92,383.1,382.88,382.94
2-Feb,11:50,382.945,383.09,382.86,382.99
2-Feb,11:55,382.9973,383.09,382.96,383.03
2-Feb,12:00,383.03,383.085,382.94,383
