Date,Time,Open,High,Low,Close
7/2,15:55,433.97,434,433.53,433.72
7/2,15:50,433.79,434.1,433.78,433.96
7/2,15:45,433.72,433.83,433.66,433.78
7/2,15:40,433.695,433.76,433.61,433.71
7/2,15:35,433.56,433.73,433.44,433.7
7/2,15:30,433.605,433.67,433.55,433.56
7/2,15:25,433.56,433.64,433.54,433.6
7/2,15:20,433.58,433.62,433.5,433.57
7/2,15:15,433.5,433.615,433.5,433.58
7/2,15:10,433.5603,433.67,433.42,433.5
7/2,15:05,433.38,433.6,433.38,433.56
7/2,15:00,433.26,433.39,433.19,433.37
7/2,14:55,433.22,433.315,433.18,433.2675
7/2,14:50,433.29,433.305,433.19,433.21
7/2,14:45,433.38,433.395,433.22,433.285
7/2,14:40,433.46,433.49,433.32,433.38
7/2,14:35,433.49,433.57,433.435,433.45
7/2,14:30,433.56,433.56,433.43,433.5
7/2,14:25,433.52,433.56,433.46,433.5561
7/2,14:20,433.44,433.54,433.4211,433.515
7/2,14:15,433.395,433.45,433.35,433.43
7/2,14:10,433.4319,433.48,433.36,433.39
7/2,14:05,433.3419,433.465,433.34,433.435
7/2,14:00,433.3125,433.38,433.2699,433.35
7/2,13:55,433.23,433.3384,433.2291,433.3101
7/2,13:50,433.36,433.36,433.2,433.2219
7/2,13:45,433.375,433.375,433.221,433.355
7/2,13:40,433.22,433.39,433.22,433.37
7/2,13:35,433.06,433.23,433.055,433.2281
7/2,13:30,433.16,433.22,433.03,433.055
7/2,13:25,433.18,433.2186,433.12,433.1599
7/2,13:20,433.07,433.2,433.066,433.17
7/2,13:15,433.2,433.24,433.06,433.06
7/2,13:10,433.1985,433.23,433.12,433.19
7/2,13:05,433.46,433.49,433.17,433.195
7/2,13:00,433.2601,433.48,433.26,433.455
7/2,12:55,433.2084,433.3,433.16,433.27
7/2,12:50,433.07,433.245,433.03,433.2097
7/2,12:45,432.975,433.093,432.94,433.07
7/2,12:40,432.818,432.975,432.78,432.975
7/2,12:35,432.709,432.83,432.68,432.81
7/2,12:30,432.49,432.725,432.46,432.709
7/2,12:25,432.445,432.55,432.445,432.5
7/2,12:20,432.485,432.525,432.44,432.445
7/2,12:15,432.375,432.5,432.34,432.48
7/2,12:10,432.43,432.46,432.34,432.37
7/2,12:05,432.44,432.48,432.43,432.44
7/2,12:00,432.45,432.51,432.41,432.45
7/2,11:55,432.395,432.65,432.395,432.45
7/2,11:50,432.295,432.41,432.2901,432.4
7/2,11:45,432.15,432.3,432.15,432.3
7/2,11:40,432.15,432.175,432.06,432.16
7/2,11:35,432.1,432.17,432.04,432.148
7/2,11:30,432.11,432.12,432.04,432.1
7/2,11:25,432.01,432.13,431.92,432.12
7/2,11:20,431.99,432.03,431.9,432.01
7/2,11:15,431.935,432.02,431.92,431.985
7/2,11:10,431.9,432.1,431.89,431.94
7/2,11:05,431.9,431.955,431.84,431.905
7/2,11:00,431.89,431.96,431.855,431.9
7/2,10:55,431.91,431.959,431.8575,431.9
7/2,10:50,431.85,431.94,431.76,431.915
7/2,10:45,431.79,431.8584,431.74,431.845
7/2,10:40,431.91,431.94,431.7399,431.7819
7/2,10:35,431.865,431.925,431.75,431.91
7/2,10:30,431.88,431.93,431.78,431.865
7/2,10:25,431.8633,431.97,431.79,431.88
7/2,10:20,431.885,431.93,431.78,431.855
7/2,10:15,431.68,431.93,431.68,431.885
7/2,10:10,431.82,431.825,431.61,431.68
7/2,10:05,431.82,431.89,431.74,431.83
7/2,10:00,431.815,431.89,431.695,431.815
7/2,9:55,431.84,431.9,431.76,431.81
7/2,9:50,431.875,431.92,431.747,431.855
7/2,9:45,431.56,431.895,431.55,431.88
7/2,9:40,431.6,431.63,431.33,431.56
7/2,9:35,431.51,431.69,431.48,431.6
7/2,9:30,431.67,431.79,431.37,431.52
7/1,15:55,430.17,430.6,430.15,430.48
7/1,15:50,430.2,430.34,430.04,430.17
7/1,15:45,430.18,430.25,430.11,430.2
7/1,15:40,430.3,430.35,430.16,430.19
7/1,15:35,430.41,430.4319,430.24,430.3
7/1,15:30,430.28,430.48,430.28,430.42
7/1,15:25,430.4201,430.45,430.24,430.27
7/1,15:20,430.405,430.45,430.3298,430.43
7/1,15:15,430.395,430.44,430.305,430.41
7/1,15:10,430.4357,430.49,430.355,430.395
7/1,15:05,430.41,430.44,430.23,430.435
7/1,15:00,430.38,430.52,430.3601,430.42
