Time,Open,High,Low,Last
2/1/21 9:30,373.72,374.32,373.40,373.94
2/1/21 9:35,373.93,374.39,373.43,373.66
2/1/21 9:40,373.65,373.92,373.38,373.58
2/1/21 9:45,373.58,373.70,372.41,372.41
2/1/21 9:50,372.40,372.84,371.42,371.54
2/1/21 9:55,371.54,372.64,371.53,372.61
2/1/21 10:00,372.62,372.83,371.70,372.82
2/1/21 10:05,372.81,372.95,371.97,372.05
2/1/21 10:10,372.02,372.97,371.93,372.59
2/1/21 10:15,372.60,373.00,372.31,372.95
2/1/21 10:20,372.95,373.39,372.74,373.37
2/1/21 10:25,373.38,373.49,372.93,372.95
2/1/21 10:30,372.96,373.78,372.96,373.73
2/1/21 10:35,373.74,373.89,373.13,373.20
2/1/21 10:40,373.19,373.94,372.93,373.66
2/1/21 10:45,373.68,373.99,373.62,373.77
2/1/21 10:50,373.76,373.85,372.73,372.79
2/1/21 10:55,372.78,372.88,372.46,372.84
2/1/21 11:00,372.84,372.98,372.26,372.80
2/1/21 11:05,372.80,373.57,372.78,373.43
2/1/21 11:10,373.42,373.65,373.22,373.49
2/1/21 11:15,373.48,373.91,373.42,373.90
2/1/21 11:20,373.91,374.33,373.83,374.30
2/1/21 11:25,374.30,374.77,374.30,374.61
2/1/21 11:30,374.61,374.98,374.52,374.77
2/1/21 11:35,374.77,374.89,374.63,374.89
2/1/21 11:40,374.90,375.73,374.89,375.45
2/1/21 11:45,375.47,375.80,375.47,375.71
2/1/21 11:50,375.72,375.76,375.51,375.60
2/1/21 11:55,375.61,375.66,375.09,375.13
2/1/21 12:00,375.13,375.77,375.13,375.51
2/1/21 12:05,375.52,375.69,375.48,375.48
2/1/21 12:10,375.48,375.98,375.48,375.96
2/1/21 12:15,375.98,376.19,375.92,376.03
2/1/21 12:20,376.04,376.14,375.96,376.08
2/1/21 12:25,376.08,376.17,375.98,376.14
2/1/21 12:30,376.14,376.36,376.00,376.03
2/1/21 12:35,376.02,376.10,375.81,375.88
2/1/21 12:40,375.88,376.14,375.73,375.75
2/1/21 12:45,375.75,375.92,375.67,375.89
2/1/21 12:50,375.90,376.23,375.88,376.21
2/1/21 12:55,376.22,376.49,376.16,376.46
2/1/21 13:00,376.46,376.54,376.30,376.36
2/1/21 13:05,376.35,376.39,376.19,376.33
2/1/21 13:10,376.33,376.50,376.11,376.35
2/1/21 13:15,376.35,376.41,376.23,376.37
2/1/21 13:20,376.39,376.59,376.30,376.50
2/1/21 13:25,376.49,376.53,376.37,376.38
2/1/21 13:30,376.38,376.71,376.38,376.57
2/1/21 13:35,376.59,376.59,376.00,376.11
2/1/21 13:40,376.11,376.21,375.91,376.02
2/1/21 13:45,376.03,376.13,375.81,375.92
2/1/21 13:50,375.91,376.17,375.86,376.13
2/1/21 13:55,376.14,376.46,376.13,376.43
2/1/21 14:00,376.45,376.47,376.17,376.26
2/1/21 14:05,376.26,376.41,376.06,376.39
2/1/21 14:10,376.39,376.51,376.32,376.51
2/1/21 14:15,376.51,376.88,376.49,376.80
2/1/21 14:20,376.80,376.80,376.51,376.66
2/1/21 14:25,376.65,377.00,376.65,376.94
2/1/21 14:30,376.96,377.07,376.86,377.01
2/1/21 14:35,377.01,377.08,376.87,376.94
2/1/21 14:40,376.95,377.31,376.95,377.16
2/1/21 14:45,377.19,377.27,377.18,377.24
2/1/21 14:50,377.22,377.34,377.13,377.25
2/1/21 14:55,377.24,377.24,376.72,376.89
2/1/21 15:00,376.90,377.21,376.90,377.19
2/1/21 15:05,377.18,377.29,376.94,377.17
2/1/21 15:10,377.17,377.21,376.61,376.86
2/1/21 15:15,376.87,377.02,376.60,376.82
2/1/21 15:20,376.83,376.92,376.31,376.50
2/1/21 15:25,376.50,376.78,376.50,376.60
2/1/21 15:30,376.61,376.62,376.22,376.52
2/1/21 15:35,376.52,376.96,376.50,376.73
2/1/21 15:40,376.74,376.96,376.40,376.80
2/1/21 15:45,376.79,376.85,376.56,376.76
2/1/21 15:50,376.75,377.12,376.50,377.09
2/1/21 15:55,377.08,377.08,376.02,376.02
2/2/21 9:30,379.65,380.62,379.60,380.60
2/2/21 9:35,380.60,380.77,380.41,380.48
2/2/21 9:40,380.48,380.69,380.15,380.47
2/2/21 9:45,380.47,381.21,380.44,381.08
2/2/21 9:50,381.08,381.13,380.54,380.88
2/2/21 9:55,380.86,381.20,380.71,380.87
2/2/21 10:00,380.89,381.60,380.87,381.44
2/2/21 10:05,381.43,381.59,381.23,381.56
2/2/21 10:10,381.57,381.75,381.20,381.54
2/2/21 10:15,381.55,382.54,381.54,382.49
2/2/21 10:20,382.50,382.52,382.25,382.28
2/2/21 10:25,382.28,382.43,381.49,381.51
