Open,High,Low,Last,5Time
366.68,367.28,366.65,366.96,1
366.96,367.05,366.69,367.02,2
367.03,367.17,366.92,367.04,3
367.03,367.15,366.88,367.03,4
367.03,367.11,366.76,366.8,5
366.81,367.02,366.81,367.01,6
367,367.44,366.96,367.31,7
367.32,367.48,367.3,367.37,8
367.37,367.64,367.23,367.47,9
367.48,367.8,367.45,367.8,10
367.79,367.96,367.74,367.83,11
367.83,367.86,367.55,367.57,12
367.57,367.95,367.56,367.85,13
367.86,367.88,367.66,367.8,14
367.8,367.99,367.72,367.85,15
367.86,367.95,367.62,367.73,16
367.74,367.88,367.66,367.77,17
367.76,367.83,367.47,367.5,18
367.5,367.68,367.5,367.63,19
367.62,367.64,367.25,367.26,20
367.25,367.26,366.91,367.19,21
367.2,367.52,367.15,367.52,22
367.51,367.74,367.48,367.68,23
367.66,367.75,367.63,367.7,24
367.69,367.78,367.68,367.71,25
367.7,367.74,367.65,367.69,26
367.68,367.88,367.65,367.72,27
367.72,367.72,367.46,367.59,28
367.58,367.64,367.44,367.52,29
367.51,367.72,367.48,367.62,30
367.62,367.89,367.4,367.65,31
367.65,367.66,367.37,367.5,32
367.5,367.56,367.22,367.29,33
367.31,367.38,367.05,367.29,34
367.3,367.35,367.24,367.34,35
367.33,367.45,367.28,367.34,36
367.34,367.66,367.21,367.44,37
367.44,367.46,367.27,367.27,38
367.27,367.37,367.24,367.32,39
367.33,367.36,367.1,367.29,40
367.28,367.34,367.14,367.28,41
367.29,367.47,367.27,367.45,42
367.44,367.5,367.34,367.37,43
367.37,367.41,366.98,367.05,44
367.06,367.18,367.01,367.17,45
367.17,367.26,367.09,367.15,46
367.16,367.22,366.87,367.2,47
367.19,367.21,367.09,367.17,48
367.17,367.18,366.93,366.95,49
366.95,367.03,366.83,366.96,50
366.96,366.96,366.79,366.85,51
366.84,366.97,366.63,366.87,52
366.88,366.9,366.74,366.79,53
366.78,366.82,366.39,366.52,54
366.52,366.98,366.47,366.82,55
366.82,366.99,366.8,366.95,56
366.94,367.08,366.9,366.93,57
366.93,367.09,366.87,367,58
367.01,367.06,366.94,366.95,59
366.95,367.07,366.77,367.01,60
367.01,367.25,366.81,367.22,61
367.23,367.34,367.1,367.31,62
367.31,367.39,367.24,367.25,63
367.25,367.36,367.23,367.32,64
367.32,367.47,367.29,367.47,65
367.46,367.63,367.34,367.59,66
367.57,367.68,367.49,367.53,67
367.53,367.6,367.29,367.39,68
367.38,367.92,367.36,367.9,69
367.91,367.94,367.79,367.91,70
367.91,368.19,367.84,368.09,71
368.09,368.11,367.97,368.06,72
368.06,368.11,367.67,367.76,73
367.77,367.9,366.89,366.91,74
366.89,366.9,365.67,366.48,75
366.47,367.19,366.2,367.01,76
367.02,367.23,365.5,365.7,77
365.71,366.72,365.64,366.67,78
