Open,High,Low,Last,5Time
360.98,361.22,360.2,360.27,1
360.26,361.24,360.22,360.81,2
360.83,360.88,360.56,360.62,3
360.62,360.97,360.58,360.94,4
360.94,361.07,359.6,359.74,5
359.72,360.41,359.59,360.4,6
360.4,360.55,360.2,360.51,7
360.52,360.73,360.47,360.65,8
360.66,360.7,360.25,360.58,9
360.6,360.82,360.58,360.76,10
360.76,361.43,360.56,361.33,11
361.33,361.5,361.2,361.5,12
361.51,361.63,361.33,361.6,13
361.6,361.62,361.39,361.49,14
361.48,361.69,361.44,361.59,15
361.6,361.69,361.33,361.49,16
361.49,361.69,361.47,361.6,17
361.61,361.93,361.56,361.93,18
361.94,362.05,361.82,362.03,19
362.03,362.08,361.85,361.88,20
361.87,362.07,361.87,361.98,21
361.99,362.16,361.97,362.08,22
362.07,362.25,362.04,362.06,23
362.07,362.16,361.9,361.98,24
361.97,362,361.82,361.84,25
361.84,361.91,361.66,361.89,26
361.9,361.98,361.77,361.84,27
361.83,361.89,361.7,361.74,28
361.74,361.78,361.65,361.73,29
361.73,361.9,361.65,361.77,30
361.78,361.98,361.77,361.9,31
361.89,361.92,361.71,361.73,32
361.73,361.77,361.51,361.55,33
361.56,361.58,361.4,361.41,34
361.41,361.41,361.07,361.11,35
361.1,361.3,361.1,361.2,36
361.2,361.26,361.04,361.13,37
361.12,361.25,361.1,361.2,38
361.2,361.44,361.2,361.41,39
361.41,361.45,361.1,361.22,40
361.23,361.3,360.87,360.95,41
360.95,361.24,360.81,361.1,42
361.1,361.11,360.72,360.89,43
360.88,361.1,360.84,361,44
361,361.03,360.84,360.88,45
360.88,361,360.82,360.93,46
360.93,360.98,360.33,360.76,47
360.76,360.76,360.06,360.13,48
360.14,360.57,360.04,360.57,49
360.57,360.65,360.31,360.36,50
360.35,360.35,359.65,359.9,51
359.9,360.18,359.85,360.08,52
360.09,360.54,360.05,360.54,53
360.54,360.74,360.51,360.57,54
360.58,360.63,360.22,360.45,55
360.46,360.83,360.41,360.77,56
360.77,360.87,360.59,360.86,57
360.86,360.87,360.71,360.81,58
360.8,360.9,360.7,360.88,59
360.88,361.04,360.8,361.02,60
361.03,361.24,360.78,360.96,61
360.95,361.01,360.81,360.92,62
360.92,361.04,360.84,361,63
361,361.17,360.71,360.74,64
360.74,361.06,360.73,360.86,65
360.87,361.03,360.75,360.92,66
360.93,360.99,360.27,360.3,67
360.3,360.72,360.24,360.68,68
360.69,360.94,360.43,360.52,69
360.49,360.85,360.4,360.79,70
360.79,361.28,360.72,361.17,71
361.17,361.22,360.57,360.87,72
360.86,361.17,360.74,361.09,73
361.09,361.25,360.82,360.97,74
360.98,361.49,360.97,361.36,75
361.37,361.59,361.25,361.44,76
361.44,361.58,361.02,361.4,77
361.4,362.59,361.21,362.58,78
