Time,Open,High,Low,Last,,
7/2/21 15:30,433.61,434.10,433.44,433.72,,
7/2/21 15:00,433.26,433.67,433.19,433.60,,
7/2/21 14:30,433.56,433.57,433.18,433.27,,
7/2/21 14:00,433.31,433.56,433.27,433.56,,
7/2/21 13:30,433.16,433.39,433.03,433.31,,
7/2/21 13:00,433.26,433.49,433.06,433.16,,
7/2/21 12:30,432.49,433.30,432.46,433.27,,
7/2/21 12:00,432.45,432.55,432.34,432.50,,
7/2/21 11:30,432.11,432.65,432.04,432.45,,
7/2/21 11:00,431.89,432.13,431.84,432.12,,
7/2/21 10:30,431.88,431.96,431.74,431.90,,
7/2/21 10:00,431.82,431.97,431.61,431.88,,
7/2/21 9:30,431.67,431.92,431.33,431.81,,
7/1/21 15:30,430.28,430.60,430.04,430.48,,
7/1/21 15:00,430.38,430.52,430.23,430.27,,
7/1/21 14:30,430.18,430.41,430.15,430.39,,
7/1/21 14:00,429.92,430.21,429.83,430.19,,
7/1/21 13:30,429.75,430.21,429.71,429.91,,
7/1/21 13:00,429.49,429.78,429.43,429.75,,
7/1/21 12:30,429.55,429.65,429.41,429.50,,
7/1/21 12:00,429.54,429.66,429.41,429.55,,
7/1/21 11:30,429.33,429.66,429.28,429.54,,
7/1/21 11:00,429.48,429.71,428.86,429.34,,
7/1/21 10:30,429.38,429.74,429.24,429.48,,
7/1/21 10:00,429.34,429.66,429.10,429.37,,
7/1/21 9:30,428.87,429.49,428.80,429.33,,
6/30/21 15:30,428.16,428.78,427.96,428.10,,
6/30/21 15:00,427.93,428.22,427.88,428.16,,
6/30/21 14:30,427.88,428.05,427.80,427.92,,
6/30/21 14:00,427.90,427.92,427.58,427.89,,
6/30/21 13:30,427.87,427.95,427.78,427.89,,
6/30/21 13:00,428.01,428.10,427.82,427.86,,
6/30/21 12:30,427.81,428.18,427.72,428.02,,
6/30/21 12:00,427.97,428.12,427.77,427.81,,
6/30/21 11:30,427.96,428.09,427.81,427.97,,
6/30/21 11:00,428.22,428.38,427.80,427.95,,
6/30/21 10:30,427.92,428.32,427.87,428.21,,
6/30/21 10:00,427.55,428.03,427.52,427.92,,
6/30/21 9:30,427.21,427.96,427.18,427.56,,
6/29/21 15:30,427.70,427.81,427.46,427.76,,
6/29/21 15:00,427.54,427.75,427.30,427.71,,
6/29/21 14:30,427.66,427.71,427.13,427.54,,
6/29/21 14:00,427.87,428.06,427.61,427.66,,
6/29/21 13:30,427.74,427.91,427.64,427.87,,
6/29/21 13:00,428.02,428.07,427.74,427.74,,
6/29/21 12:30,428.06,428.06,427.77,428.01,,
6/29/21 12:00,427.99,428.09,427.89,428.06,,
6/29/21 11:30,428.20,428.22,427.85,428.00,,
6/29/21 11:00,428.17,428.25,427.97,428.19,,
6/29/21 10:30,428.18,428.56,428.09,428.17,,
6/29/21 10:00,428.17,428.29,427.94,428.18,,
6/29/21 9:30,427.88,428.40,427.87,428.17,,
6/28/21 15:30,427.20,427.65,427.10,427.48,,
6/28/21 15:00,426.93,427.29,426.76,427.19,,
6/28/21 14:30,426.72,427.00,426.67,426.92,,
6/28/21 14:00,426.49,426.76,426.47,426.71,,
6/28/21 13:30,425.95,426.52,425.89,426.50,,
6/28/21 13:00,426.18,426.21,425.89,425.94,,
6/28/21 12:30,426.37,426.43,426.17,426.18,,
6/28/21 12:00,426.54,426.65,426.31,426.36,,
6/28/21 11:30,426.26,426.57,426.15,426.53,,
6/28/21 11:00,426.51,426.79,426.19,426.27,,
6/28/21 10:30,426.65,426.87,426.39,426.50,,
6/28/21 10:00,426.69,426.82,426.34,426.65,,
6/28/21 9:30,427.17,427.24,426.02,426.69,,
6/25/21 15:30,426.60,427.09,426.41,426.59,,
6/25/21 15:00,426.55,426.96,426.51,426.59,,
6/25/21 14:30,426.39,426.62,426.31,426.54,,
6/25/21 14:00,426.26,426.44,426.14,426.38,,
6/25/21 13:30,426.17,426.32,425.95,426.25,,
6/25/21 13:00,426.29,426.31,426.04,426.17,,
6/25/21 12:30,426.11,426.35,426.09,426.28,,
6/25/21 12:00,426.29,426.38,426.08,426.10,,
6/25/21 11:30,426.31,426.36,426.15,426.30,,
6/25/21 11:00,425.90,426.31,425.85,426.29,,
6/25/21 10:30,426.36,426.45,425.87,425.90,,
6/25/21 10:00,425.84,426.48,425.61,426.36,,
6/25/21 9:30,425.90,426.11,425.55,425.84,,
6/24/21 15:30,425.02,425.36,424.85,425.13,,
6/24/21 15:00,425.39,425.42,424.97,425.03,,
6/24/21 14:30,425.42,425.55,425.28,425.40,,
6/24/21 14:00,425.13,425.46,425.11,425.41,,
6/24/21 13:30,425.05,425.17,424.77,425.13,,
6/24/21 13:00,425.20,425.53,424.92,425.06,,
6/24/21 12:30,424.97,425.34,424.87,425.19,,
6/24/21 12:00,424.78,425.16,424.76,424.97,,
6/24/21 11:30,424.98,425.08,424.62,424.78,,
6/24/21 11:00,425.01,425.19,424.80,424.97,,
6/24/21 10:30,425.48,425.53,424.97,425.00,,
6/24/21 10:00,424.93,425.47,424.73,425.47,,
