Time,Open,High,Low,Last,Change,%Chg
7/2/2021 15:30,433.605,434.1,433.44,433.72,0.12,0.03%
7/2/2021 15:00,433.26,433.67,433.19,433.6,0.3325,0.08%
7/2/2021 14:30,433.56,433.57,433.18,433.2675,-0.2886,-0.07%
7/2/2021 14:00,433.3125,433.56,433.2699,433.5561,0.246,0.06%
7/2/2021 13:30,433.16,433.39,433.03,433.3101,0.1502,0.03%
7/2/2021 13:00,433.2601,433.49,433.06,433.1599,-0.1101,-0.03%
7/2/2021 12:30,432.49,433.3,432.46,433.27,0.77,0.18%
7/2/2021 12:00,432.45,432.55,432.34,432.5,0.05,0.01%
7/2/2021 11:30,432.11,432.65,432.04,432.45,0.33,0.08%
7/2/2021 11:00,431.89,432.13,431.84,432.12,0.22,0.05%
7/2/2021 10:30,431.88,431.959,431.7399,431.9,0.02,0.00%
7/2/2021 10:00,431.815,431.97,431.61,431.88,0.07,0.02%
7/2/2021 9:30,431.67,431.92,431.33,431.81,1.33,0.31%
7/1/2021 15:30,430.28,430.6,430.04,430.48,0.21,0.05%
7/1/2021 15:00,430.38,430.52,430.23,430.27,-0.12,-0.03%
7/1/2021 14:30,430.18,430.41,430.15,430.39,0.2,0.05%
7/1/2021 14:00,429.92,430.205,429.8298,430.19,0.28,0.07%
7/1/2021 13:30,429.75,430.2099,429.71,429.91,0.1599,0.04%
7/1/2021 13:00,429.49,429.78,429.43,429.7501,0.2501,0.06%
7/1/2021 12:30,429.55,429.65,429.41,429.5,-0.045,-0.01%
7/1/2021 12:00,429.54,429.66,429.41,429.545,0.005,0.00%
7/1/2021 11:30,429.33,429.66,429.28,429.54,0.2,0.05%
7/1/2021 11:00,429.48,429.71,428.86,429.34,-0.14,-0.03%
7/1/2021 10:30,429.38,429.74,429.2401,429.48,0.11,0.03%
7/1/2021 10:00,429.34,429.66,429.1,429.37,0.0375,0.01%
7/1/2021 9:30,428.87,429.485,428.8,429.3325,1.2325,0.29%
6/30/2021 15:30,428.16,428.78,427.96,428.1,-0.055,-0.01%
6/30/2021 15:00,427.93,428.215,427.875,428.155,0.235,0.05%
6/30/2021 14:30,427.88,428.05,427.8,427.92,0.035,0.01%
6/30/2021 14:00,427.9,427.92,427.58,427.885,-0.005,0.00%
6/30/2021 13:30,427.87,427.95,427.7819,427.89,0.03,0.01%
6/30/2021 13:00,428.01,428.1,427.82,427.86,-0.16,-0.04%
6/30/2021 12:30,427.81,428.18,427.72,428.02,0.21,0.05%
6/30/2021 12:00,427.97,428.12,427.77,427.81,-0.16,-0.04%
6/30/2021 11:30,427.96,428.0925,427.81,427.97,0.02,0.00%
6/30/2021 11:00,428.215,428.38,427.8,427.95,-0.26,-0.06%
6/30/2021 10:30,427.92,428.3175,427.87,428.21,0.29,0.07%
6/30/2021 10:00,427.55,428.03,427.52,427.92,0.365,0.09%
6/30/2021 9:30,427.21,427.959,427.18,427.555,-0.205,-0.05%
6/29/2021 15:30,427.7,427.81,427.46,427.76,0.055,0.01%
6/29/2021 15:00,427.54,427.75,427.3,427.705,0.165,0.04%
6/29/2021 14:30,427.66,427.71,427.13,427.54,-0.12,-0.03%
6/29/2021 14:00,427.87,428.06,427.61,427.66,-0.21,-0.05%
6/29/2021 13:30,427.744,427.91,427.64,427.87,0.127,0.03%
6/29/2021 13:00,428.02,428.07,427.74,427.743,-0.267,-0.06%
6/29/2021 12:30,428.055,428.06,427.77,428.01,-0.045,-0.01%
6/29/2021 12:00,427.99,428.09,427.89,428.055,0.06,0.01%
6/29/2021 11:30,428.195,428.22,427.845,427.995,-0.195,-0.05%
6/29/2021 11:00,428.165,428.25,427.97,428.19,0.025,0.01%
6/29/2021 10:30,428.18,428.56,428.09,428.165,-0.015,0.00%
6/29/2021 10:00,428.17,428.285,427.94,428.18,0.01,0.00%
6/29/2021 9:30,427.88,428.4,427.87,428.17,0.69,0.16%
6/28/2021 15:30,427.195,427.65,427.1,427.48,0.29,0.07%
6/28/2021 15:00,426.93,427.29,426.755,427.19,0.27,0.06%
6/28/2021 14:30,426.715,427,426.67,426.92,0.21,0.05%
6/28/2021 14:00,426.49,426.76,426.47,426.71,0.21,0.05%
6/28/2021 13:30,425.95,426.52,425.89,426.5,0.56,0.13%
6/28/2021 13:00,426.18,426.21,425.89,425.94,-0.24,-0.06%
6/28/2021 12:30,426.365,426.43,426.17,426.18,-0.18,-0.04%
6/28/2021 12:00,426.54,426.65,426.31,426.36,-0.1725,-0.04%
6/28/2021 11:30,426.26,426.57,426.15,426.5325,0.2675,0.06%
6/28/2021 11:00,426.51,426.79,426.19,426.265,-0.235,-0.06%
6/28/2021 10:30,426.65,426.87,426.39,426.5,-0.15,-0.04%
6/28/2021 10:00,426.69,426.82,426.34,426.65,-0.04,-0.01%
6/28/2021 9:30,427.17,427.2419,426.02,426.69,0.1,0.02%
