Day,Five Minute Chunk of That Day,Open,High,Low,Close,Change
1,77,415.23,415.35,414.7,414.98,-0.24
1,76,415.41,415.64,415.09,415.22,-0.2
1,75,415.13,415.44,414.85,415.42,0.3
1,74,415.53,415.65,415.11,415.13,-0.4
1,73,415.55,415.83,415.52,415.52,-0.03
1,72,416.01,416.02,415.44,415.55,-0.46
1,71,416.17,416.17,415.84,416.01,-0.17
1,70,415.96,416.25,415.88,416.17,0.22
1,69,415.83,416.14,415.72,415.95,0.13
1,68,415.51,415.97,415.47,415.82,0.31
1,67,415.53,415.69,415.41,415.51,-0.02
1,66,415.74,415.75,415.32,415.53,-0.21
1,65,415.77,415.83,415.64,415.74,-0.02
1,64,415.46,415.79,415.45,415.75,0.3
1,63,415.26,415.6,415.26,415.45,0.2
1,62,415.16,415.33,415.15,415.25,0.08
1,61,415.51,415.6,414.96,415.17,-0.35
1,60,415.47,415.69,415.43,415.52,0.06
1,59,415.78,415.84,415.35,415.46,-0.32
1,58,415.9,415.9,415.7,415.78,-0.13
1,57,416.09,416.11,415.87,415.91,-0.19
1,56,416.03,416.19,415.93,416.09,0.06
1,55,415.71,416.15,415.69,416.03,0.32
1,54,415.73,415.81,415.53,415.71,-0.01
1,53,415.69,415.77,415.6,415.72,0.03
1,52,415.7,415.81,415.62,415.69,-0.01
1,51,415.74,415.76,415.57,415.7,-0.04
1,50,415.88,415.91,415.62,415.74,-0.16
1,49,415.86,415.94,415.74,415.89,0.04
1,48,415.45,415.89,415.4,415.85,0.41
1,47,415.17,415.5,415.16,415.44,0.26
1,46,414.95,415.4,414.95,415.18,0.23
1,45,414.88,415.11,414.87,414.95,0.07
1,44,415.03,415.19,414.87,414.88,-0.17
1,43,415.02,415.25,414.97,415.05,0.02
1,42,414.88,415.07,414.81,415.03,0.14
1,41,414.72,414.95,414.45,414.89,0.18
1,40,415.23,415.29,414.71,414.71,-0.52
1,39,415.62,415.63,415.11,415.23,-0.4
1,38,415.47,415.69,415.43,415.63,0.17
1,37,415.47,415.56,415.29,415.46,-0.02
1,36,415.49,415.67,415.44,415.48,-0.03
1,35,415.35,415.56,415.21,415.5,0.15
1,34,415.4,415.55,415.29,415.35,-0.06
