Time,Open,High,Low,Last,Change,%Chg
5/21/21 15:55,415.23,415.35,414.70,414.98,-0.24,-0.06%
5/21/21 15:50,415.41,415.64,415.09,415.22,-0.20,-0.05%
5/21/21 15:45,415.13,415.44,414.85,415.42,0.30,0.07%
5/21/21 15:40,415.53,415.65,415.11,415.13,-0.40,-0.10%
5/21/21 15:35,415.55,415.83,415.52,415.52,-0.03,-0.01%
5/21/21 15:30,416.01,416.02,415.44,415.55,-0.46,-0.11%
5/21/21 15:25,416.17,416.17,415.84,416.01,-0.17,-0.04%
5/21/21 15:20,415.96,416.25,415.88,416.17,0.22,0.05%
5/21/21 15:15,415.83,416.14,415.72,415.95,0.13,0.03%
5/21/21 15:10,415.51,415.97,415.47,415.82,0.31,0.07%
5/21/21 15:05,415.53,415.69,415.41,415.51,-0.02,0.00%
5/21/21 15:00,415.74,415.75,415.32,415.53,-0.21,-0.05%
5/21/21 14:55,415.77,415.83,415.64,415.74,-0.02,0.00%
5/21/21 14:50,415.46,415.79,415.45,415.75,0.30,0.07%
5/21/21 14:45,415.26,415.60,415.26,415.45,0.20,0.05%
5/21/21 14:40,415.16,415.33,415.15,415.25,0.08,0.02%
5/21/21 14:35,415.51,415.60,414.96,415.17,-0.35,-0.08%
5/21/21 14:30,415.47,415.69,415.43,415.52,0.06,0.01%
5/21/21 14:25,415.78,415.84,415.35,415.46,-0.32,-0.08%
5/21/21 14:20,415.90,415.90,415.70,415.78,-0.13,-0.03%
5/21/21 14:15,416.09,416.11,415.87,415.91,-0.19,-0.04%
5/21/21 14:10,416.03,416.19,415.93,416.09,0.06,0.01%
5/21/21 14:05,415.71,416.15,415.69,416.03,0.32,0.08%
5/21/21 14:00,415.73,415.81,415.53,415.71,-0.01,0.00%
5/21/21 13:55,415.69,415.77,415.60,415.72,0.03,0.01%
5/21/21 13:50,415.70,415.81,415.62,415.69,-0.01,0.00%
5/21/21 13:45,415.74,415.76,415.57,415.70,-0.04,-0.01%
5/21/21 13:40,415.88,415.91,415.62,415.74,-0.16,-0.04%
5/21/21 13:35,415.86,415.94,415.74,415.89,0.04,0.01%
5/21/21 13:30,415.45,415.89,415.40,415.85,0.41,0.10%
5/21/21 13:25,415.17,415.50,415.16,415.44,0.26,0.06%
5/21/21 13:20,414.95,415.40,414.95,415.18,0.23,0.06%
5/21/21 13:15,414.88,415.11,414.87,414.95,0.07,0.02%
5/21/21 13:10,415.03,415.19,414.87,414.88,-0.17,-0.04%
5/21/21 13:05,415.02,415.25,414.97,415.05,0.02,0.00%
5/21/21 13:00,414.88,415.07,414.81,415.03,0.14,0.03%
5/21/21 12:55,414.72,414.95,414.45,414.89,0.18,0.04%
5/21/21 12:50,415.23,415.29,414.71,414.71,-0.52,-0.12%
5/21/21 12:45,415.62,415.63,415.11,415.23,-0.40,-0.10%
5/21/21 12:40,415.47,415.69,415.43,415.63,0.17,0.04%
5/21/21 12:35,415.47,415.56,415.29,415.46,-0.02,0.00%
5/21/21 12:30,415.49,415.67,415.44,415.48,-0.03,-0.01%
5/21/21 12:25,415.35,415.56,415.21,415.50,0.15,0.04%
5/21/21 12:20,415.40,415.55,415.29,415.35,-0.06,-0.01%
5/21/21 12:15,415.45,415.56,415.29,415.41,-0.06,-0.01%
5/21/21 12:10,415.16,415.61,415.14,415.46,0.30,0.07%
5/21/21 12:05,416.14,416.22,415.12,415.16,-0.99,-0.24%
5/21/21 12:00,415.95,416.21,415.84,416.15,0.19,0.05%
5/21/21 11:55,416.13,416.19,415.85,415.96,-0.18,-0.04%
5/21/21 11:50,416.38,416.60,416.07,416.14,-0.23,-0.06%
5/21/21 11:45,416.51,416.68,416.34,416.37,-0.13,-0.03%
5/21/21 11:40,416.50,416.73,416.43,416.50,-0.01,0.00%
5/21/21 11:35,416.64,416.69,416.34,416.51,-0.13,-0.03%
5/21/21 11:30,416.30,416.76,416.19,416.64,0.34,0.08%
5/21/21 11:25,417.03,417.12,416.23,416.30,-0.72,-0.17%
5/21/21 11:20,417.12,417.22,416.99,417.02,-0.09,-0.02%
5/21/21 11:15,417.02,417.13,416.98,417.11,0.10,0.02%
5/21/21 11:10,417.09,417.27,416.96,417.01,-0.09,-0.02%
5/21/21 11:05,416.87,417.24,416.87,417.10,0.25,0.06%
5/21/21 11:00,417.07,417.20,416.79,416.85,-0.21,-0.05%
5/21/21 10:55,416.63,417.09,416.63,417.06,0.43,0.10%
5/21/21 10:50,416.63,416.81,416.54,416.63,0.00,0.00%
5/21/21 10:45,416.54,416.65,416.34,416.63,0.09,0.02%
5/21/21 10:40,416.69,416.80,416.48,416.54,-0.16,-0.04%
5/21/21 10:35,417.22,417.35,416.51,416.70,-0.52,-0.12%
5/21/21 10:30,416.79,417.33,416.68,417.21,0.42,0.10%
