Open,High,Low,Last,5Time
392.23,392.55,391.9,392.41,1
392.4,392.56,391.92,392.18,2
392.2,392.56,391.74,391.83,3
391.84,392.34,391.75,392.25,4
392.25,392.46,392.18,392.37,5
392.38,392.99,392.34,392.95,6
392.95,393.25,392.94,393.1,7
393.1,393.17,392.78,392.91,8
392.93,393.09,392.75,392.8,9
392.8,393.03,391.97,392.22,10
392.23,392.85,392.14,392.75,11
392.75,393.07,392.74,392.97,12
392.97,393.27,392.92,393.23,13
393.23,393.26,393.01,393.13,14
393.13,393.48,393.13,393.43,15
393.44,393.74,393.31,393.72,16
393.73,394.09,393.69,394.03,17
394.03,394.14,393.79,394.05,18
394.05,394.41,394.05,394.31,19
394.3,394.59,394.27,394.45,20
394.45,394.72,394.41,394.68,21
394.68,394.99,394.62,394.97,22
394.96,395.03,394.82,394.96,23
394.96,395.03,394.73,394.79,24
394.78,395.02,394.63,394.95,25
394.95,395.13,394.91,395.01,26
395.01,395.24,395.01,395.17,27
395.18,395.2,394.9,395.17,28
395.16,395.25,395.05,395.15,29
395.14,395.16,394.76,394.82,30
394.82,394.91,394.7,394.79,31
394.8,395.19,394.79,395.18,32
395.19,395.41,395.16,395.35,33
395.34,395.38,395,395.03,34
395.03,395.07,394.89,395,35
394.99,395.03,394.82,394.95,36
394.96,395.15,394.92,395.02,37
395.02,395.13,394.95,395.04,38
395.05,395.07,394.82,394.85,39
394.86,394.99,394.81,394.86,40
394.86,394.87,394.55,394.59,41
394.59,394.98,394.54,394.92,42
394.91,395.34,394.84,395.33,43
395.33,395.65,395.24,395.29,44
395.29,395.42,395.04,395.1,45
395.09,395.31,395.02,395.07,46
395.07,395.14,394.86,394.95,47
394.95,394.95,394.69,394.82,48
394.84,395.07,394.65,394.7,49
394.69,394.86,394.64,394.79,50
394.8,394.96,394.63,394.72,51
394.72,394.85,394.65,394.77,52
394.78,394.96,394.66,394.84,53
394.84,394.86,394.37,394.57,54
394.56,395.09,394.56,394.95,55
394.97,395.04,394.69,394.85,56
394.86,395.03,394.72,394.87,57
394.86,395,394.74,394.99,58
394.98,395.12,394.93,395.1,59
395.1,395.14,394.95,394.95,60
394.96,395.04,394.8,394.9,61
394.9,394.91,394.53,394.69,62
394.68,394.79,394.56,394.6,63
394.6,394.72,394.26,394.26,64
394.26,394.49,394.23,394.36,65
394.36,394.37,394.06,394.07,66
394.07,394.24,394,394.23,67
394.24,394.24,393.91,394.17,68
394.17,394.17,393.8,393.86,69
393.86,394.08,393.79,394,70
394.01,394.16,393.91,394.13,71
394.14,394.25,393.88,394.14,72
394.13,394.15,393.62,393.7,73
393.7,393.94,393.6,393.89,74
393.88,394,393.66,393.73,75
393.72,393.93,393.68,393.7,76
393.72,393.92,393.39,393.73,77
393.73,393.73,393.28,393.46,78
