Open,High,Low,Last,5Time
413.21,413.87,413.18,413.49,1
413.49,413.71,413.4,413.63,2
413.63,414,413.55,413.99,3
413.98,414.28,413.98,414.09,4
414.1,414.51,413.94,414.43,5
414.43,414.92,414.31,414.92,6
414.9,415.05,414.46,414.78,7
414.78,414.84,414.17,414.24,8
414.24,414.92,414.24,414.85,9
414.87,414.92,414.54,414.72,10
414.72,415.17,414.7,414.91,11
414.91,415.22,414.44,414.44,12
414.43,415,414.43,414.97,13
414.97,415,414.37,414.49,14
414.5,414.68,414.07,414.24,15
414.25,415.02,414.25,414.99,16
414.99,415.18,414.91,415.05,17
415.04,415.37,415.01,415.28,18
415.28,415.39,414.84,414.9,19
414.89,415.2,414.89,414.9,20
414.91,415.36,414.91,415.22,21
415.23,415.5,415.23,415.42,22
415.43,415.53,415.4,415.51,23
415.52,415.67,415.41,415.49,24
415.49,415.61,415.42,415.58,25
415.57,415.72,415.51,415.68,26
415.69,415.75,415.55,415.61,27
415.62,415.72,415.56,415.61,28
415.61,415.65,415.27,415.39,29
415.39,415.5,415.31,415.39,30
415.39,415.68,415.32,415.55,31
415.55,415.72,415.55,415.64,32
415.66,415.88,415.63,415.84,33
415.84,415.95,415.74,415.93,34
415.95,416.02,415.72,415.8,35
415.8,415.96,415.79,415.9,36
415.9,416.06,415.9,416.02,37
416.01,416.02,415.78,415.88,38
415.87,416,415.87,415.9,39
415.9,416.14,415.89,416.1,40
416.11,416.24,416.06,416.11,41
416.12,416.27,416.1,416.24,42
416.24,416.42,416.2,416.24,43
416.26,416.28,416.14,416.25,44
416.25,416.28,416.15,416.23,45
416.23,416.23,416.07,416.11,46
416.11,416.41,416.11,416.29,47
416.29,416.44,416.29,416.38,48
416.38,416.52,416.16,416.3,49
416.3,416.4,416.23,416.31,50
416.31,416.44,416.25,416.37,51
416.36,416.42,416.22,416.4,52
416.4,416.46,416.33,416.38,53
416.39,416.52,416.35,416.43,54
416.43,416.49,416.31,416.47,55
416.48,416.69,416.47,416.64,56
416.65,416.95,416.61,416.8,57
416.8,416.86,416.71,416.77,58
416.77,416.8,416.59,416.68,59
416.68,416.8,416.62,416.73,60
416.73,417.02,416.73,416.96,61
416.97,417.04,416.89,416.95,62
416.94,417.1,416.94,417,63
417.01,417.25,417,417.21,64
417.21,417.48,417.12,417.44,65
417.45,417.49,417.07,417.22,66
417.22,417.24,416.71,417.03,67
417.03,417.13,416.87,417.04,68
417.05,417.2,416.88,417.1,69
417.1,417.34,417.08,417.09,70
417.07,417.24,416.94,416.95,71
416.95,417.07,416.82,417.03,72
417.04,417.13,416.51,416.74,73
416.74,416.91,416.52,416.66,74
416.66,416.8,416.45,416.65,75
416.66,417.08,416.58,416.97,76
416.97,417.38,416.72,417.36,77
417.35,417.36,416.3,416.49,78
